1: 102400 936620.000000
2: 102400 215826.000000
3: 102400 95217.000000
4: 102400 167918.000000
5: 102400 68074.000000
6: 1048576 1302750.000000
7: 1048576 1254925.000000
8: 1048576 1098517.000000
9: 1048576 2888708.000000
10: 1048576 1133301.000000
11: 5242880 6978313.000000
12: 5242880 7462300.000000
13: 5242880 8394154.000000
14: 5242880 7304844.000000
15: 5242880 10019012.000000
16: 10485760 13508895.000000
17: 10485760 15636219.000000
18: 10485760 14386171.000000
19: 10485760 16501154.000000
20: 10485760 16922325.000000
21: 20971520 37303321.000000
22: 20971520 31407513.000000
23: 20971520 32202490.000000
24: 20971520 36833527.000000
25: 20971520 31425315.000000
